연번,호선,고유역번호(외부역코드),역명,수송연월,하차인원수
1,1,150,서울역(1),2022년1월,1050145
2,1,151,시청(1),2022년1월,508237
3,1,152,종각,2022년1월,796150
4,1,153,종로3가(1),2022년1월,601965
5,1,154,종로5가,2022년1월,552920
6,1,155,동대문(1),2022년1월,281274
7,1,156,신설동(1),2022년1월,338965
8,1,157,제기동,2022년1월,492913
9,1,158,청량리,2022년1월,544757
10,1,159,동묘앞(1),2022년1월,255518
11,2,201,시청(2),2022년1월,504488
12,2,202,을지로입구,2022년1월,952048
13,2,203,을지로3가(2),2022년1월,524327
14,2,204,을지로4가(2),2022년1월,303297
15,2,205,동대문역사문화공원(2),2022년1월,356653
16,2,206,신당(2),2022년1월,371778
17,2,207,상왕십리,2022년1월,350972
18,2,208,왕십리(2),2022년1월,346966
19,2,209,한양대,2022년1월,170492
20,2,210,뚝섬,2022년1월,576861
21,2,211,성수,2022년1월,984953
22,2,212,건대입구(2),2022년1월,1016924
23,2,213,구의,2022년1월,595740
24,2,214,강변,2022년1월,783866
25,2,215,잠실나루,2022년1월,337170
26,2,216,잠실(2),2022년1월,1818865
27,2,217,잠실새내,2022년1월,550080
28,2,218,종합운동장(2),2022년1월,207320
29,2,219,삼성,2022년1월,1273126
30,2,220,선릉,2022년1월,1163713
31,2,221,역삼,2022년1월,1352638
32,2,222,강남,2022년1월,2149571
33,2,223,교대(2),2022년1월,902146
34,2,224,서초,2022년1월,502350
35,2,225,방배,2022년1월,416331
36,2,226,사당(2),2022년1월,1032181
37,2,227,낙성대,2022년1월,677609
38,2,228,서울대입구,2022년1월,1205414
39,2,229,봉천,2022년1월,568513
40,2,230,신림,2022년1월,1609570
41,2,231,신대방,2022년1월,664763
42,2,232,구로디지털단지,2022년1월,1457395
43,2,233,대림(2),2022년1월,638186
44,2,234,신도림,2022년1월,1215029
45,2,235,문래,2022년1월,527164
46,2,236,영등포구청(2),2022년1월,572004
47,2,237,당산,2022년1월,517697
48,2,238,합정(2),2022년1월,859535
49,2,239,홍대입구,2022년1월,1589013
50,2,240,신촌,2022년1월,870854
