"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202211","1호선","동대문","728","4","10942","1871","8782","6391","14368","11493","20005","21825","18561","22349","16489","22100","17748","24527","21937","24545","23613","22454","25927","22437","25629","20722","26816","19605","26128","19879","23037","20137","16089","19091","13946","12598","12552","10865","9395","9671","4294","7946","518","2191","5","206","0","1","0","0","20221203"
"202211","1호선","동묘앞","205","4","3082","1052","3731","4674","6555","8851","11419","21633","9128","18442","9552","20527","14547","27386","20939","30683","28912","36196","33290","31225","34587","26475","37125","18754","32606","13300","18340","9948","8225","7514","5269","5419","4702","5452","2974","5716","1230","3580","89","1322","2","332","0","1","0","0","20221203"
"202211","1호선","서울역","698","24","8634","8662","13165","49665","42055","109445","71945","219435","60879","160791","60399","81565","74517","68982","83151","78481","81548","80147","70349","70094","93684","76834","112072","79378","170309","94895","219294","97723","115786","64928","81732","45433","80679","40098","53607","28157","22735","13413","2321","2639","2","192","0","0","0","0","20221203"
"202211","1호선","시청","121","0","2050","4369","3391","23225","7286","68121","9263","195016","11983","101983","13690","45320","20915","43246","22586","42218","29024","40984","38273","34329","51661","30877","64677","31031","98843","32109","168144","27858","64005","12939","54614","8135","48886","7653","30884","5318","10081","3194","872","850","1","26","0","0","0","0","20221203"
"202211","1호선","신설동","372","15","9256","2278","9260","8707","20784","24027","31812","57914","20507","33623","17713","21667","19169","19347","20681","18233","22633","19459","22542","18497","24739","19395","31359","21021","39934","24193","52682","30189","20193","20965","14002","13846","12248","13169","8512","11142","3316","7874","370","2070","1","6","0","0","0","0","20221203"
"202211","1호선","제기동","401","6","5057","1965","8472","8415","22686","19220","34488","39385","23972","31627","24973","36561","32875","43709","38785","46339","41118","50161","44579","46243","49253","38479","47477","32283","42820","26443","37450","27094","17710","18641","11758","12011","8681","11002","5385","10296","2093","6282","180","1364","0","1","0","0","0","0","20221203"
"202211","1호선","종각","87","0","3481","4532","3914","23272","6392","100450","10554","246340","13060","156591","18042","64612","26260","57809","33012","50865","42221","50496","52554","42424","67230","38618","78303","38446","147670","47053","214615","52080","91069","25191","79029","12074","85961","8689","62883","5819","28210","3809","1995","811","2","12","0","0","0","0","20221203"
"202211","1호선","종로3가","156","12","3723","3227","3770","13951","5123","25473","9605","71269","13688","67502","19326","57986","29385","64795","41509","66384","49488","63846","59472","55808","70969","45764","76998","41269","89731","40625","102255","42615","58937","21189","46725","10151","49382","8464","37550","6028","16573","3953","1924","1662","1","40","0","0","0","0","20221203"
"202211","1호선","종로5가","30","0","1717","3734","2839","14822","5566","41443","9048","98209","12463","66718","19588","55236","29924","56611","38953","54972","47706","50993","55151","48583","61448","41129","65393","36436","88693","33428","97213","31321","49417","15653","34641","8025","31335","5847","20677","4475","7175","2651","367","759","2","15","0","0","0","0","20221203"
"202211","1호선","청량리(서울시립대입구)","973","12","11433","4054","15224","22424","37955","17368","48751","36502","30630","34571","28548","36311","34089","40627","38629","40679","41287","44922","43026","45103","47880","44517","56462","40469","51356","40680","40502","47803","21172","31876","16788","18675","13114","17107","7981","15183","2979","9009","209","3248","4","12","1","2","0","0","20221203"
"202211","2호선","강남","151","5","8810","11865","17736","51686","38918","144907","66156","302863","53464","306346","51661","147840","65394","101758","80295","96728","95776","111687","106081","97392","133165","95119","154649","104286","246509","137712","312783","183090","204938","108716","159256","56569","179649","45117","160046","37129","74537","22095","16237","7051","12","89","0","0","0","0","20221203"
